Class,Method Name,Arg/Ret/Var,Variable Name,Inferred Type,Original Type,Exact (E) / Up to Parameter (P) / Got Type (T) / None (N),Solution Source,Source Code
[s]User,new_from_params,Arg,params,([ []: (:email) -> { { [s]User#new_from_params arg: params }#[] call_ret: ret } ] and [ []: (:name) -> { { [s]User#new_from_params arg: params }#[] call_ret: ret } ] and [ []: (:password) -> { { [s]User#new_from_params arg: params }#[] call_ret: ret } ] and [ []: (:username) -> { { [s]User#new_from_params arg: params }#[] call_ret: ret } ]),"{ name: String, email: String, password: String, username: String }",TS,Constraints,"def self.new_from_params(params)
    user = User.new
    user.name = params[:name]
    user.email = params[:email]
    user.password = params[:password]
    user.username = params[:username]
    user
  end"
[s]User,new_from_params,Ret,"",User,User,E,Twin,"def self.new_from_params(params)
    user = User.new
    user.name = params[:name]
    user.email = params[:email]
    user.password = params[:password]
    user.username = params[:username]
    user
  end"
[s]User,find_by_username,Arg,username,String,String,E,Twin,"def self.find_by_username(username)
    find_by(username_lower: normalize_username(username))
  end"
[s]User,find_by_username,Ret,"",User,User,E,Constraints,"def self.find_by_username(username)
    find_by(username_lower: normalize_username(username))
  end"
[s]User,username_available?,Arg,username,String,String,E,Twin,"def self.username_available?(username, email = nil, allow_reserved_username: false)
    lower = normalize_username(username)
    return false if !allow_reserved_username && reserved_username?(lower)
    return true  if !username_exists?(lower)

    # staged users can use the same username since they will take over the account
    email.present? && User.joins(:user_emails).exists?(staged: true, username_lower: lower, user_emails: { primary: true, email: email })
  end"
[s]User,username_available?,Arg,email,?String,?String,E,Constraints,"def self.username_available?(username, email = nil, allow_reserved_username: false)
    lower = normalize_username(username)
    return false if !allow_reserved_username && reserved_username?(lower)
    return true  if !username_exists?(lower)

    # staged users can use the same username since they will take over the account
    email.present? && User.joins(:user_emails).exists?(staged: true, username_lower: lower, user_emails: { primary: true, email: email })
  end"
[s]User,username_available?,Ret,"",(false or true),(false or true),E,Constraints,"def self.username_available?(username, email = nil, allow_reserved_username: false)
    lower = normalize_username(username)
    return false if !allow_reserved_username && reserved_username?(lower)
    return true  if !username_exists?(lower)

    # staged users can use the same username since they will take over the account
    email.present? && User.joins(:user_emails).exists?(staged: true, username_lower: lower, user_emails: { primary: true, email: email })
  end"
User,featured_user_badges,Arg,limit,?Number,?Number,E,Constraints,"def featured_user_badges(limit = 3)
    tl_badge_ids = Badge.trust_level_badge_ids

    query = user_badges
      .group(:badge_id)
      .select(UserBadge.attribute_names.map { |x| ""MAX(user_badges.#{x}) AS #{x}"" },
                      'COUNT(*) AS ""count""',
                      'MAX(badges.badge_type_id) AS badges_badge_type_id',
                      'MAX(badges.grant_count) AS badges_grant_count')
      .joins(:badge)
      .order('badges_badge_type_id ASC, badges_grant_count ASC, badge_id DESC')
      .includes(:user, :granted_by, { badge: :badge_type }, post: :topic)

    tl_badge = query.where(""user_badges.badge_id IN (:tl_badge_ids)"",
                           tl_badge_ids: tl_badge_ids)
      .limit(1)

    other_badges = query.where(""user_badges.badge_id NOT IN (:tl_badge_ids)"",
                               tl_badge_ids: tl_badge_ids)
      .limit(limit)

    (tl_badge + other_badges).take(limit)
  end"
User,featured_user_badges,Ret,"",Array<(Badge or BadgeType or GrantedBy or Post or Topic or User or UserBadge)>,%any,E,Constraints,"def featured_user_badges(limit = 3)
    tl_badge_ids = Badge.trust_level_badge_ids

    query = user_badges
      .group(:badge_id)
      .select(UserBadge.attribute_names.map { |x| ""MAX(user_badges.#{x}) AS #{x}"" },
                      'COUNT(*) AS ""count""',
                      'MAX(badges.badge_type_id) AS badges_badge_type_id',
                      'MAX(badges.grant_count) AS badges_grant_count')
      .joins(:badge)
      .order('badges_badge_type_id ASC, badges_grant_count ASC, badge_id DESC')
      .includes(:user, :granted_by, { badge: :badge_type }, post: :topic)

    tl_badge = query.where(""user_badges.badge_id IN (:tl_badge_ids)"",
                           tl_badge_ids: tl_badge_ids)
      .limit(1)

    other_badges = query.where(""user_badges.badge_id NOT IN (:tl_badge_ids)"",
                               tl_badge_ids: tl_badge_ids)
      .limit(limit)

    (tl_badge + other_badges).take(limit)
  end"
User,email_confirmed?,Ret,"",(false or true),(false or true),E,Constraints,"def email_confirmed?
    email_tokens.where(email: email, confirmed: true).present? ||
    email_tokens.empty? ||
    single_sign_on_record&.external_email == email
  end"
